rental_id,customer_id,car_id,rental_date,return_date
RNT82,CUST12491,CAR66,2022-12-12,2023-09-18
RNT83,CUST11066,CAR63,2023-05-08,2021-12-14
RNT84,CUST1717,CAR36,2022-07-27,2022-04-12
RNT85,CUST16457,CAR60,2021-12-24,2024-02-09
RNT86,CUST4741,CAR55,2023-01-08,2022-08-16
RNT87,CUST8332,CAR38,2022-08-15,2022-11-07
RNT88,CUST8349,CAR28,2022-01-17,2022-04-05
RNT89,CUST15121,CAR87,2021-10-18,2022-07-04
RNT90,CUST15949,CAR36,2022-12-30,2024-01-18
RNT91,CUST8002,CAR26,2022-03-27,2024-05-12
RNT92,CUST9176,CAR12,2023-08-16,2022-08-13
RNT93,CUST12590,CAR4,2023-06-24,2022-11-01
RNT94,CUST8589,CAR47,2022-09-12,2024-03-19
RNT95,CUST6197,CAR70,2022-01-11,2022-01-07
RNT96,CUST16294,CAR70,2024-08-08,2023-12-05
RNT97,CUST11598,CAR5,2022-01-01,2023-03-15
RNT98,CUST13025,CAR8,2023-06-08,2022-12-08
RNT99,CUST9290,CAR80,2024-08-08,2023-01-20
RNT100,CUST3297,CAR69,2022-12-02,2023-02-10
RNT101,CUST15154,CAR60,2024-02-08,2023-08-25
RNT102,CUST4391,CAR33,2022-04-24,2022-10-31
RNT103,CUST4433,CAR43,2021-11-13,2022-12-10
RNT104,CUST9640,CAR90,2024-08-08,2023-07-10
RNT105,CUST10233,CAR15,2023-10-18,2024-08-22
RNT106,CUST1907,CAR80,2023-08-12,2021-11-25
RNT107,CUST482,CAR66,2023-07-03,2022-04-07
RNT108,CUST6209,CAR39,2021-09-29,2021-11-06
RNT109,CUST16553,CAR72,2024-01-30,2023-08-09
RNT110,CUST5169,CAR56,2022-01-10,2022-10-14
RNT111,CUST11795,CAR63,2023-07-15,2022-11-11
RNT112,CUST14321,CAR66,2021-11-24,2022-06-18
RNT113,CUST10799,CAR59,2024-07-29,2022-03-12
RNT114,CUST1487,CAR3,2022-04-23,2023-09-21
RNT115,CUST2578,CAR85,2024-05-22,2022-11-05
RNT116,CUST13566,CAR84,2023-07-07,2024-03-14
RNT117,CUST16113,CAR77,2023-06-15,2022-07-24
RNT118,CUST13075,CAR82,2022-06-22,2022-10-15
RNT119,CUST13976,CAR39,2023-09-07,2023-05-17
RNT120,CUST1989,CAR32,2023-06-16,2024-08-23
RNT121,CUST12354,CAR36,2023-03-06,2023-12-18
RNT122,CUST9183,CAR58,2021-10-03,2023-02-15
RNT123,CUST15232,CAR7,2022-04-26,2023-03-24
RNT124,CUST3661,CAR28,2024-01-27,2021-12-29
RNT125,CUST15716,CAR9,2024-03-01,2022-06-04
RNT126,CUST13409,CAR36,2023-05-27,2022-04-17
RNT127,CUST14041,CAR57,2024-05-01,2022-01-02
RNT128,CUST10515,CAR71,2023-05-19,2024-02-10
RNT129,CUST7220,CAR56,2022-09-08,2022-07-24
RNT130,CUST14593,CAR51,2023-01-19,2022-07-05
RNT131,CUST11461,CAR27,2022-09-29,2023-01-06
RNT132,CUST278,CAR89,2023-03-13,2022-10-06
RNT133,CUST1377,CAR38,2023-02-13,2021-11-05
RNT134,CUST10314,CAR0,2023-03-31,2023-02-24
RNT135,CUST6491,CAR42,2023-09-04,2022-01-02
RNT136,CUST15756,CAR5,2024-04-09,2024-03-30
RNT137,CUST5185,CAR62,2022-11-03,2022-01-11
RNT138,CUST5143,CAR8,2022-06-09,2022-06-25
RNT139,CUST8827,CAR91,2022-01-14,2023-07-20
RNT140,CUST5956,CAR68,2022-04-17,2023-11-27
RNT141,CUST13011,CAR86,2023-04-16,2022-03-28
RNT142,CUST3810,CAR70,2022-01-22,2023-03-19
RNT143,CUST12988,CAR45,2023-10-16,2023-05-20
RNT144,CUST13480,CAR21,2023-12-10,2023-05-20
RNT145,CUST10340,CAR81,2024-07-02,2023-08-02
RNT146,CUST181,CAR22,2021-12-08,2022-08-05
RNT147,CUST3941,CAR13,2022-11-10,2023-11-28
RNT148,CUST9711,CAR92,2021-09-16,2023-10-22
RNT149,CUST158,CAR49,2022-01-15,2023-03-07
RNT150,CUST14264,CAR42,2023-04-27,2021-12-24
RNT151,CUST14887,CAR26,2024-04-23,2022-12-05
RNT152,CUST12152,CAR8,2022-03-21,2024-08-11
RNT153,CUST13770,CAR10,2023-11-12,2023-04-14
RNT154,CUST1251,CAR29,2023-01-19,2022-06-16
RNT155,CUST13544,CAR71,2022-08-13,2023-07-29
RNT156,CUST4136,CAR59,2023-08-16,2023-11-19
RNT157,CUST2494,CAR35,2021-11-15,2023-12-29
RNT158,CUST16201,CAR71,2022-08-12,2024-02-03
RNT159,CUST1761,CAR73,2022-11-15,2024-01-04
RNT160,CUST12359,CAR46,2023-10-02,2023-01-21
RNT161,CUST703,CAR20,2021-12-22,2022-05-06
RNT162,CUST11947,CAR41,2024-05-17,2023-02-07
RNT163,CUST15811,CAR79,2023-12-21,2024-03-12
RNT164,CUST2978,CAR11,2022-06-01,2021-09-26
RNT165,CUST8757,CAR29,2023-08-09,2022-11-21
RNT166,CUST13693,CAR84,2021-09-26,2024-04-11
RNT167,CUST14545,CAR35,2023-03-26,2022-08-20
RNT168,CUST11560,CAR70,2024-02-24,2022-12-08
RNT169,CUST7464,CAR87,2023-06-14,2022-05-25
RNT170,CUST1861,CAR49,2024-05-24,2023-05-28
RNT171,CUST6321,CAR68,2023-09-30,2021-10-21
RNT172,CUST14519,CAR0,2024-01-03,2021-10-05
RNT173,CUST13212,CAR28,2024-07-29,2023-11-02
RNT174,CUST2636,CAR78,2024-01-23,2021-12-25
RNT175,CUST1297,CAR90,2023-06-02,2022-04-16
RNT176,CUST13571,CAR38,2023-07-01,2023-05-31
RNT177,CUST11229,CAR24,2024-03-28,2024-06-29
RNT178,CUST8653,CAR19,2022-08-09,2024-06-18
RNT179,CUST17251,CAR35,2022-01-16,2022-06-27
RNT180,CUST9692,CAR77,2022-04-23,2023-12-19
RNT181,CUST6451,CAR58,2022-05-14,2024-03-03
RNT182,CUST11131,CAR2,2023-05-07,2022-03-29
RNT183,CUST7674,CAR4,2023-07-13,2022-07-18
RNT184,CUST15693,CAR0,2021-12-30,2022-04-30
RNT185,CUST1477,CAR28,2022-08-14,2022-06-27
RNT186,CUST17260,CAR20,2023-10-04,2021-12-30
RNT187,CUST2433,CAR53,2024-05-18,2022-08-26
RNT188,CUST4824,CAR85,2022-10-02,2023-09-07
RNT189,CUST6675,CAR16,2023-05-19,2023-12-31
RNT190,CUST7133,CAR34,2023-05-10,2023-09-23
RNT191,CUST1557,CAR82,2022-01-19,2022-05-01
RNT192,CUST6147,CAR31,2022-12-27,2022-12-13
RNT193,CUST32,CAR30,2023-09-28,2022-02-15
RNT194,CUST764,CAR84,2023-02-10,2024-02-22
RNT195,CUST15769,CAR8,2022-12-25,2022-01-13
RNT196,CUST2145,CAR76,2022-07-23,2023-09-24
RNT197,CUST14709,CAR17,2024-07-20,2022-04-05
RNT198,CUST16542,CAR62,2022-04-18,2021-12-04
RNT199,CUST2991,CAR87,2024-04-09,2024-05-02
RNT200,CUST7713,CAR0,2022-08-10,2022-01-14
RNT201,CUST10320,CAR70,2023-06-26,2022-12-22
RNT202,CUST9757,CAR46,2021-09-16,2022-04-24
RNT203,CUST7996,CAR15,2023-11-08,2022-07-13
RNT204,CUST468,CAR11,2023-02-02,2024-04-25
RNT205,CUST14903,CAR12,2021-11-15,2023-05-11
RNT206,CUST6786,CAR43,2024-04-17,2022-10-04
RNT207,CUST344,CAR58,2022-07-28,2024-08-16
RNT208,CUST11317,CAR29,2022-04-17,2022-10-17
RNT209,CUST14802,CAR60,2023-12-15,2022-07-17
RNT210,CUST15703,CAR17,2024-06-05,2022-03-06
RNT211,CUST7618,CAR23,2022-12-04,2024-02-07
RNT212,CUST8415,CAR46,2023-03-21,2023-03-23
RNT213,CUST11150,CAR13,2022-05-31,2021-12-01
RNT214,CUST4884,CAR17,2023-06-16,2021-10-07
RNT215,CUST7467,CAR79,2023-05-24,2023-12-27
RNT216,CUST14361,CAR45,2023-10-06,2022-02-17
RNT217,CUST1890,CAR63,2024-04-17,2023-06-27
RNT218,CUST7317,CAR51,2023-09-15,2024-06-05
RNT219,CUST1104,CAR12,2022-07-22,2023-11-07
RNT220,CUST364,CAR21,2021-12-18,2024-09-09
RNT221,CUST11778,CAR12,2022-11-14,2022-11-03
RNT222,CUST3110,CAR69,2021-10-27,2022-03-10
RNT223,CUST13801,CAR39,2023-02-26,2023-11-24
RNT224,CUST12466,CAR48,2023-11-07,2023-08-04
RNT225,CUST13022,CAR2,2023-08-14,2023-05-05
RNT226,CUST9846,CAR18,2024-02-24,2024-06-03
RNT227,CUST2152,CAR31,2022-10-05,2021-10-06
RNT228,CUST11345,CAR91,2023-09-29,2021-12-02
RNT229,CUST9558,CAR74,2022-02-23,2023-09-18
RNT230,CUST6390,CAR54,2024-07-21,2023-08-26
RNT231,CUST9757,CAR18,2022-06-20,2021-12-14
RNT232,CUST12006,CAR68,2022-10-03,2024-04-19
RNT233,CUST8127,CAR44,2023-08-15,2022-06-11
RNT234,CUST1803,CAR48,2022-03-25,2023-11-07
RNT235,CUST2955,CAR75,2024-05-23,2022-09-22
RNT236,CUST17245,CAR86,2024-03-16,2022-04-02
RNT237,CUST8144,CAR39,2022-04-16,2024-07-04
RNT238,CUST2502,CAR17,2022-02-01,2024-05-02
RNT239,CUST12426,CAR93,2023-12-27,2023-12-29
RNT240,CUST10643,CAR62,2022-06-23,2022-09-23
RNT241,CUST8579,CAR93,2024-07-11,2023-12-24
RNT242,CUST14528,CAR45,2023-05-20,2024-06-01
RNT243,CUST9951,CAR33,2024-01-19,2022-06-20
RNT244,CUST4572,CAR39,2024-04-22,2023-02-14
RNT245,CUST504,CAR48,2024-07-15,2023-01-03
RNT246,CUST7153,CAR40,2022-12-08,2022-05-20
RNT247,CUST16793,CAR73,2022-02-11,2024-08-03
RNT248,CUST5649,CAR53,2023-03-08,2024-03-29
RNT249,CUST12466,CAR58,2022-01-31,2023-09-18
RNT250,CUST9831,CAR44,2022-07-30,2023-06-08
RNT251,CUST8907,CAR5,2023-12-26,2023-12-04
RNT252,CUST3466,CAR2,2022-04-13,2023-07-29
RNT253,CUST10938,CAR50,2022-01-31,2024-05-05
RNT254,CUST3525,CAR33,2023-10-07,2023-01-11
RNT255,CUST2293,CAR18,2022-06-24,2022-10-14
RNT256,CUST4928,CAR10,2023-07-05,2024-08-14
RNT257,CUST13011,CAR10,2022-05-19,2023-09-14
RNT258,CUST4236,CAR28,2023-03-11,2023-01-11
RNT259,CUST15389,CAR16,2022-12-05,2022-05-19
RNT260,CUST967,CAR1,2021-11-16,2023-12-15
RNT261,CUST11120,CAR63,2023-10-19,2022-03-21
RNT262,CUST12299,CAR1,2022-12-18,2024-08-05
RNT263,CUST12315,CAR84,2023-12-25,2022-10-08
RNT264,CUST16603,CAR62,2024-03-20,2021-11-10
RNT265,CUST7191,CAR23,2023-11-15,2024-07-29
RNT266,CUST13021,CAR16,2023-09-28,2023-07-05
RNT267,CUST4724,CAR69,2021-11-03,2022-11-10
RNT268,CUST3205,CAR80,2023-02-26,2024-04-03
RNT269,CUST13527,CAR83,2024-04-28,2024-05-18
RNT270,CUST14637,CAR92,2022-06-26,2023-07-13
RNT271,CUST17122,CAR45,2022-08-02,2022-09-07
RNT272,CUST8286,CAR75,2022-12-05,2023-11-14
RNT273,CUST9035,CAR1,2024-06-13,2023-06-25
RNT274,CUST7892,CAR32,2023-02-06,2022-06-29
RNT275,CUST15927,CAR2,2023-08-18,2023-05-13
RNT276,CUST8765,CAR3,2024-08-31,2023-12-23
RNT277,CUST10565,CAR58,2022-10-19,2024-04-24
RNT278,CUST7895,CAR74,2022-07-30,2024-02-05
RNT279,CUST3999,CAR51,2023-10-21,2023-12-04
RNT280,CUST12477,CAR88,2024-01-25,2022-07-26
RNT281,CUST3974,CAR38,2021-09-22,2023-07-03
RNT282,CUST7390,CAR80,2024-03-01,2024-05-25
RNT283,CUST9962,CAR89,2023-06-13,2022-05-08
RNT284,CUST8790,CAR26,2022-09-21,2024-02-08
RNT285,CUST13035,CAR74,2024-07-10,2022-08-11
RNT286,CUST9289,CAR39,2023-07-08,2022-06-17
RNT287,CUST5185,CAR28,2023-05-24,2023-12-19
RNT288,CUST6225,CAR11,2024-05-12,2021-12-19
RNT289,CUST15787,CAR80,2021-11-28,2022-08-05
RNT290,CUST9904,CAR5,2023-06-08,2023-03-02
RNT291,CUST13258,CAR34,2023-01-23,2024-04-22
RNT292,CUST5500,CAR10,2022-12-25,2024-01-11
RNT293,CUST4400,CAR93,2021-11-07,2021-12-12
RNT294,CUST7947,CAR12,2022-01-03,2022-09-19
RNT295,CUST14362,CAR49,2023-07-01,2022-12-24
RNT296,CUST7780,CAR70,2022-11-17,2023-02-09
RNT297,CUST1804,CAR29,2024-07-17,2022-11-07
RNT298,CUST6825,CAR34,2023-06-07,2022-07-09
RNT299,CUST12914,CAR81,2021-11-12,2024-07-09
RNT300,CUST15997,CAR67,2022-07-21,2022-07-15
RNT301,CUST12532,CAR78,2023-09-28,2022-06-08
RNT302,CUST2203,CAR58,2021-10-10,2021-10-14
RNT303,CUST5306,CAR31,2024-03-14,2023-05-19
RNT304,CUST1273,CAR41,2022-03-25,2021-10-18
RNT305,CUST15702,CAR39,2022-12-26,2024-07-13
RNT306,CUST2396,CAR32,2021-11-06,2022-04-11
RNT307,CUST1187,CAR72,2022-09-05,2023-08-08
RNT308,CUST7708,CAR71,2023-01-29,2023-12-06
RNT309,CUST3080,CAR46,2024-04-16,2022-04-02
RNT310,CUST8168,CAR65,2024-06-18,2022-05-05
RNT311,CUST9387,CAR58,2023-03-03,2021-10-08
RNT312,CUST3811,CAR65,2022-08-21,2024-03-01
RNT313,CUST10271,CAR42,2024-01-27,2023-02-26
RNT314,CUST11346,CAR48,2024-08-06,2022-08-30
RNT315,CUST8668,CAR75,2022-07-20,2023-06-10
RNT316,CUST10464,CAR77,2023-10-06,2022-08-18
RNT317,CUST1505,CAR73,2021-11-30,2023-11-14
RNT318,CUST528,CAR91,2024-01-16,2022-05-30
RNT319,CUST7226,CAR42,2024-06-16,2023-03-30
RNT320,CUST10692,CAR71,2024-04-04,2023-04-30
RNT321,CUST12858,CAR59,2022-07-14,2022-06-21
RNT322,CUST5293,CAR56,2022-07-02,2024-02-07
RNT323,CUST12475,CAR67,2024-01-12,2021-10-21
RNT324,CUST6677,CAR0,2023-12-13,2023-07-13
RNT325,CUST9790,CAR45,2024-02-28,2022-04-13
RNT326,CUST7396,CAR57,2022-03-03,2022-03-22
RNT327,CUST2011,CAR87,2024-08-10,2023-07-24
RNT328,CUST13739,CAR87,2024-05-25,2024-02-19
RNT329,CUST11620,CAR55,2023-07-09,2022-04-26
RNT330,CUST17074,CAR24,2024-03-24,2021-10-24
RNT331,CUST2729,CAR76,2022-11-28,2022-10-04
RNT332,CUST6550,CAR73,2022-05-27,2022-08-01
RNT333,CUST13053,CAR46,2022-10-26,2023-05-27
RNT334,CUST7766,CAR67,2022-07-31,2024-08-22
RNT335,CUST17148,CAR84,2024-05-18,2023-10-13
RNT336,CUST12058,CAR65,2022-10-08,2023-08-05
RNT337,CUST2461,CAR40,2023-10-14,2023-08-06
RNT338,CUST7387,CAR69,2023-03-31,2021-11-13
RNT339,CUST10295,CAR44,2023-02-16,2024-05-12
RNT340,CUST3262,CAR54,2021-11-19,2024-04-10
RNT341,CUST12425,CAR56,2023-08-13,2024-06-18
RNT342,CUST3218,CAR47,2021-09-27,2022-06-11
RNT343,CUST16567,CAR87,2022-09-12,2022-09-18
RNT344,CUST8831,CAR89,2023-08-29,2022-01-21
RNT345,CUST1984,CAR21,2022-12-30,2023-07-19
RNT346,CUST15344,CAR12,2022-10-19,2023-02-13
RNT347,CUST8656,CAR88,2024-09-05,2023-08-28
RNT348,CUST7666,CAR66,2021-10-04,2022-03-02
RNT349,CUST15066,CAR47,2022-06-15,2022-10-18
RNT350,CUST8086,CAR23,2024-06-25,2024-04-22
RNT351,CUST8816,CAR43,2022-04-17,2023-02-05
RNT352,CUST2107,CAR2,2024-07-01,2023-07-09
RNT353,CUST3146,CAR72,2024-02-21,2023-09-12
RNT354,CUST188,CAR29,2022-05-29,2023-09-09
RNT355,CUST6810,CAR18,2024-06-13,2023-08-02
RNT356,CUST1830,CAR41,2023-03-11,2024-02-21
RNT357,CUST4049,CAR84,2021-11-13,2023-06-23
RNT358,CUST7041,CAR91,2023-08-01,2024-06-05
RNT359,CUST15405,CAR90,2022-07-04,2022-08-21
RNT360,CUST14385,CAR58,2023-11-17,2023-04-28
RNT361,CUST6979,CAR22,2022-04-25,2023-06-25
RNT362,CUST6233,CAR37,2022-10-11,2022-03-16
RNT363,CUST9813,CAR64,2021-12-15,2023-09-22
RNT364,CUST10643,CAR83,2023-08-29,2024-08-04
RNT365,CUST14992,CAR35,2023-11-26,2023-04-25
RNT366,CUST2499,CAR38,2022-01-12,2023-10-31
RNT367,CUST5485,CAR52,2023-12-01,2023-12-23
RNT368,CUST8227,CAR24,2024-02-28,2022-05-16
RNT369,CUST7231,CAR38,2023-07-24,2023-09-25
RNT370,CUST9752,CAR85,2021-11-10,2024-09-06
RNT371,CUST13583,CAR60,2024-03-28,2022-01-15
RNT372,CUST8980,CAR78,2024-01-12,2022-10-30
RNT373,CUST7701,CAR32,2022-02-23,2022-09-25
RNT374,CUST6639,CAR32,2023-02-15,2023-08-16
RNT375,CUST991,CAR4,2022-04-17,2023-08-09
RNT376,CUST9668,CAR11,2022-04-15,2023-07-12
RNT377,CUST4133,CAR76,2022-04-14,2023-06-14
RNT378,CUST2386,CAR5,2022-05-27,2024-08-26
RNT379,CUST12570,CAR87,2022-08-21,2023-06-24
RNT380,CUST11819,CAR70,2021-12-01,2022-07-21
RNT381,CUST2248,CAR59,2022-10-26,2024-08-18
RNT382,CUST4352,CAR17,2022-11-11,2022-04-30
RNT383,CUST1840,CAR88,2023-06-22,2022-06-21
RNT384,CUST9118,CAR42,2021-11-04,2021-11-22
RNT385,CUST498,CAR60,2021-11-13,2024-04-25
RNT386,CUST1643,CAR87,2022-08-22,2022-07-09
RNT387,CUST2741,CAR41,2023-09-07,2023-07-07
RNT388,CUST2569,CAR38,2024-08-13,2022-02-23
RNT389,CUST5977,CAR91,2023-06-24,2022-05-12
RNT390,CUST4292,CAR51,2023-12-12,2022-03-07
RNT391,CUST9488,CAR41,2024-09-06,2022-04-10
RNT392,CUST3569,CAR40,2024-05-12,2024-03-24
RNT393,CUST3639,CAR19,2023-08-20,2023-10-30
RNT394,CUST10943,CAR1,2024-06-25,2024-02-22
RNT395,CUST6518,CAR20,2023-02-24,2022-02-01
RNT396,CUST4371,CAR6,2023-08-20,2022-03-06
RNT397,CUST8114,CAR84,2024-06-05,2023-09-05
RNT398,CUST16324,CAR52,2023-03-25,2021-09-29
RNT399,CUST3701,CAR72,2024-02-07,2021-10-07
RNT400,CUST6131,CAR8,2022-07-02,2021-11-03
RNT401,CUST10817,CAR20,2023-01-05,2022-07-21
RNT402,CUST11276,CAR84,2024-06-12,2022-11-15
RNT403,CUST2174,CAR41,2022-01-25,2022-08-08
RNT404,CUST15338,CAR18,2021-10-16,2021-12-27
RNT405,CUST7782,CAR28,2023-02-02,2021-09-23
RNT406,CUST8233,CAR82,2023-06-21,2024-03-19
RNT407,CUST5682,CAR8,2024-07-22,2021-12-30
RNT408,CUST9340,CAR79,2021-09-27,2022-06-16
RNT409,CUST8118,CAR18,2024-05-18,2022-07-18
RNT410,CUST876,CAR48,2022-12-12,2024-05-23
RNT411,CUST2006,CAR66,2024-02-18,2024-01-18
RNT412,CUST8061,CAR49,2023-01-23,2023-02-04
RNT413,CUST11685,CAR72,2024-04-23,2023-09-11
RNT414,CUST3503,CAR54,2024-04-17,2023-10-21
RNT415,CUST1652,CAR65,2022-01-27,2023-11-24
RNT416,CUST11070,CAR15,2022-03-10,2021-09-18
RNT417,CUST2901,CAR73,2024-06-28,2022-01-27
RNT418,CUST3308,CAR59,2022-02-11,2022-03-09
RNT419,CUST7471,CAR34,2023-09-25,2022-09-21
RNT420,CUST4216,CAR8,2024-02-02,2022-12-28
RNT421,CUST1863,CAR40,2022-11-10,2024-07-22
RNT422,CUST5105,CAR21,2023-06-19,2024-06-01
RNT423,CUST3092,CAR26,2022-12-30,2022-01-02
RNT424,CUST13289,CAR78,2023-03-02,2022-06-04
RNT425,CUST1334,CAR28,2023-07-01,2021-09-16
RNT426,CUST11396,CAR47,2021-12-08,2023-05-19
RNT427,CUST3280,CAR58,2024-01-19,2024-06-08
RNT428,CUST14619,CAR73,2021-11-30,2022-02-23
RNT429,CUST967,CAR6,2022-02-02,2022-09-11
RNT430,CUST4360,CAR52,2021-11-02,2022-07-31
RNT431,CUST2709,CAR23,2024-09-03,2024-04-06
RNT432,CUST13012,CAR83,2023-04-27,2023-07-11
RNT433,CUST7099,CAR1,2023-12-06,2022-06-24
RNT434,CUST7024,CAR12,2023-08-21,2024-07-11
RNT435,CUST15597,CAR8,2022-09-16,2022-06-18
RNT436,CUST1438,CAR62,2024-03-28,2023-05-20
RNT437,CUST2746,CAR76,2023-12-08,2022-11-19
RNT438,CUST16905,CAR80,2023-12-30,2022-10-10
RNT439,CUST11577,CAR59,2023-02-03,2022-02-09
RNT440,CUST1401,CAR68,2021-11-24,2024-04-10
RNT441,CUST14638,CAR16,2022-05-04,2024-08-10
RNT442,CUST13207,CAR6,2021-11-04,2023-07-20
RNT443,CUST4685,CAR74,2023-07-27,2023-03-02
RNT444,CUST9747,CAR64,2022-12-20,2024-05-27
RNT445,CUST11726,CAR39,2023-05-02,2022-02-13
RNT446,CUST4718,CAR78,2024-05-04,2022-08-13
RNT447,CUST3546,CAR76,2022-09-11,2024-02-24
RNT448,CUST6596,CAR42,2021-12-13,2022-10-11
RNT449,CUST8803,CAR36,2021-11-14,2022-09-06
RNT450,CUST11201,CAR41,2022-11-07,2023-12-07
RNT451,CUST3147,CAR92,2023-05-21,2022-06-28
RNT452,CUST176,CAR15,2023-01-06,2023-05-02
RNT453,CUST12764,CAR17,2024-04-11,2023-05-06
RNT454,CUST16899,CAR13,2024-03-03,2024-06-26
RNT455,CUST16584,CAR12,2021-12-20,2024-07-06
RNT456,CUST15516,CAR47,2023-09-11,2023-11-20
RNT457,CUST16640,CAR66,2024-01-29,2023-01-18
RNT458,CUST7169,CAR69,2021-09-19,2021-12-03
RNT459,CUST2248,CAR79,2024-02-23,2023-10-20
RNT460,CUST16722,CAR30,2024-06-15,2022-10-17
RNT461,CUST11747,CAR16,2024-08-08,2022-04-29
RNT462,CUST3630,CAR21,2023-07-28,2024-04-01
RNT463,CUST12143,CAR66,2022-02-05,2022-12-03
RNT464,CUST2402,CAR48,2022-03-24,2021-09-30
